Model,Mean,SD
Right-branching,0.4157287734681987,0.22291708083730322
Left-branching,0.06900791032642344,0.155036006724338
joint,0.5026206856366033,0.011167825147643688
sem-first,0.5112519041129175,0.04032421734296562
syn-first,0.48757849900522343,0.019771900060102935
visual-labels,0.4937934830373049,0.015103017201116896
