Model,Mean,SD
Right-branching,0.19913614875223404,0.10159308633492092
Left-branching,0.060425257572215806,0.11818051120080582
joint,0.24224011633099418,0.0
sem-first,0.2531103544795858,0.0
syn-first,0.24485678299088587,0.0
joint-lm0.05,0.19913614875223404,0.0
